Unnamed: 0,Loan_Status,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
502,1,1,1,0,1,0,5923,2054,211,360,1,0
503,1,1,0,0,0,1,5800,0,132,360,1,1
504,0,1,1,2,1,0,8799,0,258,360,0,2
505,1,1,1,0,0,0,4467,0,120,360,0,0
506,1,1,0,0,1,0,3333,0,70,360,1,2
507,0,1,1,3,1,0,3400,2500,123,360,0,0
508,0,0,0,0,1,0,2378,0,9,360,1,2
509,0,1,1,0,1,0,3166,2064,104,360,0,2
510,1,1,1,1,1,0,3417,1750,186,360,1,2
511,0,1,1,0,1,0,5116,1451,165,360,0,2
512,1,1,1,2,1,0,16666,0,275,360,1,2
513,0,1,1,2,0,0,6125,1625,187,480,1,1
514,0,1,1,3,1,0,6406,0,150,360,1,1
515,1,1,1,2,1,0,3159,461,108,84,1,2
516,0,1,1,0,1,0,3087,2210,136,360,0,1
517,1,1,0,0,1,0,3229,2739,110,360,1,2
518,1,1,1,1,1,0,1782,2232,107,360,1,0
519,1,1,0,0,1,0,3182,2917,161,360,1,2
520,1,1,1,2,1,0,6540,0,205,360,1,1
521,1,0,1,0,1,0,3166,0,36,360,1,1
522,0,1,1,1,1,0,1880,0,61,360,1,0
523,0,1,1,1,1,0,2787,1917,146,360,0,0
524,0,1,1,1,1,0,4283,3000,172,84,1,0
525,1,1,1,0,1,0,2297,1522,104,360,1,2
526,1,0,0,0,0,0,2165,0,70,360,1,1
527,1,1,0,0,1,0,4750,0,94,360,1,1
528,0,1,1,2,1,1,2726,0,106,360,0,1
529,1,1,1,0,1,0,3000,3416,56,180,1,1
530,0,1,1,2,1,1,6000,0,205,240,1,1
531,1,1,1,0,1,0,3859,3300,142,180,1,0
532,1,1,1,0,1,1,16120,0,260,360,1,2
533,1,1,0,0,0,0,3833,0,110,360,1,0
534,0,1,1,2,0,1,6383,1000,187,360,1,0
535,0,1,0,0,1,0,2987,0,88,360,0,1
536,1,1,1,0,1,1,9963,0,180,360,1,0
537,1,1,1,2,1,0,5780,0,192,360,1,2
538,1,1,1,0,0,0,2894,2792,155,360,1,0
539,1,1,1,3,1,0,5703,0,128,360,1,2
540,1,1,0,0,1,0,3676,4301,172,360,1,0
541,1,0,1,1,1,0,12000,0,496,360,1,1
542,0,1,1,0,0,0,2400,3800,131,180,1,2
543,1,1,1,1,1,0,3400,2500,173,360,1,1
544,1,1,1,2,0,0,3987,1411,157,360,1,0
545,1,1,1,0,1,0,3232,1950,108,360,1,0
546,1,0,0,0,1,0,2900,0,71,360,1,0
547,1,1,1,3,1,0,4106,0,40,180,1,0
548,1,1,1,1,1,0,8072,240,253,360,1,2
549,1,1,1,2,1,0,7583,0,187,360,1,2
